--- 分析日志 for: .\VAH02.csv ---
--- 协议: Extended cruise (1000 sec) ---

发现 4415 个由Ns变化定义的片段。

片段 #     | 起始时间(s)         | 持续(s)      | 状态标签                                | 依据 (I, V, P)
--------------------------------------------------------------------------------------------------------------
1        | 0.00            | 5074.02    | 其他充电阶段                              | I= 1490.8mA, V=3.90V, P=  5.82W
2        | 5084.02         | 1784.17    | 恒压充电 (CV Charge)                    | I=  454.2mA, V=4.20V, P=  1.91W
3        | 6878.19         | 880.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
4        | 7768.25         | 3599.95    | RPT: C/5 容量测试放电                     | I= -609.6mA, V=4.06V, P= -2.48W
5        | 11368.19        | 30.00      | RPT: IR测量前静置                        | I=  -76.4mA, V=4.02V, P= -0.31W
6        | 11398.19        | 7200.00    | RPT: C/5 容量测试放电                     | I= -609.6mA, V=3.81V, P= -2.32W
7        | 18598.19        | 30.00      | RPT: IR测量前静置                        | I=  -76.5mA, V=3.64V, P= -0.28W
8        | 18628.19        | 7528.48    | RPT: C/5 容量测试放电                     | I= -609.6mA, V=3.30V, P= -2.01W

>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> RPT完成 & 验证点 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
>>> 在此RPT之前已完成的任务循环次数: 0
>>> 结论: 计数符合'每50个循环一次RPT'的规则。
>>> 数据点记录: Capacity = 3104.82 mAh, Cycle Number = 1
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 验证完成 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<

9        | 26166.67        | 890.00     | 静置 (Rest)                           | I=    0.0mA, V=2.76V, P=  0.00W
10       | 27086.67        | 3015.70    | 恒流充电 (CC Charge)                    | I= 2990.7mA, V=3.81V, P= 11.40W
11       | 30132.36        | 1888.95    | 恒压充电 (CV Charge)                    | I=  963.9mA, V=4.20V, P=  4.05W
12       | 32051.31        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
13       | 32921.37        | 74.94      | 任务剖面: 起飞 (Take-off)                 | I=-14590.8mA, V=3.70V, P=-53.99W
14       | 32996.31        | 1000.00    | 任务剖面: 巡航 (Cruise)                   | I=-4263.9mA, V=3.77V, P=-16.05W
15       | 33996.31        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-17031.9mA, V=3.17V, P=-53.87W
16       | 34102.31        | 634.43     | 静置 (Rest)                           | I=    0.0mA, V=3.59V, P=  0.00W
17       | 34766.74        | 1746.08    | 恒流充电 (CC Charge)                    | I= 2990.6mA, V=3.96V, P= 11.85W
18       | 36542.81        | 1654.47    | 恒压充电 (CV Charge)                    | I= 1025.1mA, V=4.20V, P=  4.31W
19       | 38227.29        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.18V, P=  0.00W
20       | 39097.34        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14575.1mA, V=3.70V, P=-53.99W
21       | 39172.29        | 1000.00    | 任务剖面: 巡航 (Cruise)                   | I=-4263.7mA, V=3.77V, P=-16.05W
22       | 40172.29        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-17064.0mA, V=3.16V, P=-53.87W
23       | 40278.28        | 626.55     | 静置 (Rest)                           | I=    0.0mA, V=3.59V, P=  0.00W
24       | 40934.84        | 1753.45    | 恒流充电 (CC Charge)                    | I= 2990.4mA, V=3.96V, P= 11.84W
25       | 42718.29        | 1797.77    | 恒压充电 (CV Charge)                    | I=  963.0mA, V=4.20V, P=  4.04W
26       | 44546.06        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
27       | 45416.11        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14568.7mA, V=3.71V, P=-53.99W
28       | 45491.06        | 1000.00    | 任务剖面: 巡航 (Cruise)                   | I=-4262.5mA, V=3.77V, P=-16.05W
29       | 46491.06        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-17083.9mA, V=3.16V, P=-53.87W
30       | 46597.05        | 620.44     | 静置 (Rest)                           | I=    0.0mA, V=3.59V, P=  0.00W
31       | 47247.49        | 1748.88    | 恒流充电 (CC Charge)                    | I= 2990.2mA, V=3.96V, P= 11.84W
32       | 49026.37        | 1796.26    | 恒压充电 (CV Charge)                    | I=  961.3mA, V=4.20V, P=  4.04W
33       | 50852.64        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
34       | 51722.69        | 74.94      | 任务剖面: 起飞 (Take-off)                 | I=-14568.1mA, V=3.71V, P=-53.99W
35       | 51797.64        | 1000.00    | 任务剖面: 巡航 (Cruise)                   | I=-4264.0mA, V=3.77V, P=-16.06W
36       | 52797.64        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-17114.1mA, V=3.15V, P=-53.87W
37       | 52903.64        | 621.76     | 静置 (Rest)                           | I=    0.0mA, V=3.59V, P=  0.00W
38       | 53555.39        | 1749.63    | 恒流充电 (CC Charge)                    | I= 2990.6mA, V=3.96V, P= 11.84W
39       | 55335.02        | 1593.89    | 恒压充电 (CV Charge)                    | I= 1053.4mA, V=4.20V, P=  4.42W
40       | 56958.91        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.18V, P=  0.00W
41       | 57828.96        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14571.0mA, V=3.71V, P=-53.99W
42       | 57903.91        | 1000.00    | 任务剖面: 巡航 (Cruise)                   | I=-4266.0mA, V=3.77V, P=-16.05W
43       | 58903.91        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-17154.8mA, V=3.15V, P=-53.87W
