--- 分析日志 for: VAH09_new.csv ---
--- 协议: Temp: 20 deg C ---

[高级数据清洗]: 发现并删除了 1622 个数据点。

清洗后发现 5761 个有效片段。

片段 #     | 起始时间(s)         | 持续(s)      | 状态标签                                | 依据 (I, V, P)
--------------------------------------------------------------------------------------------------------------
1        | 0.00            | 4958.87    | 其他充电阶段                              | I= 1503.3mA, V=3.90V, P=  5.86W
2        | 4968.87         | 2348.33    | 恒压充电 (CV Charge)                    | I=  454.7mA, V=4.20V, P=  1.91W
3        | 7327.20         | 880.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
4        | 8217.24         | 3599.96    | RPT: C/5 容量测试放电                     | I= -596.4mA, V=4.06V, P= -2.42W
5        | 11817.20        | 30.00      | RPT: IR测量前静置                        | I=  -65.1mA, V=4.01V, P= -0.26W
6        | 11847.20        | 7200.00    | RPT: C/5 容量测试放电                     | I= -596.3mA, V=3.80V, P= -2.27W
7        | 19047.20        | 30.00      | RPT: IR测量前静置                        | I=  -65.2mA, V=3.64V, P= -0.24W
8        | 19077.20        | 7521.81    | RPT: C/5 容量测试放电                     | I= -596.3mA, V=3.29V, P= -1.96W
9        | 26609.01        | 890.00     | 静置 (Rest)                           | I=    0.0mA, V=2.79V, P=  0.00W
10       | 27529.00        | 2985.37    | 恒流充电 (CC Charge)                    | I= 3002.9mA, V=3.81V, P= 11.44W
11       | 30544.37        | 2233.36    | 恒压充电 (CV Charge)                    | I=  869.7mA, V=4.20V, P=  3.65W
12       | 32807.73        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
13       | 33677.77        | 74.96      | 任务剖面: 起飞 (Take-off)                 | I=-14472.2mA, V=3.70V, P=-53.55W
14       | 33752.73        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4276.4mA, V=3.80V, P=-16.23W
15       | 34552.73        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16131.5mA, V=3.26V, P=-52.39W
16       | 34687.73        | 686.85     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
17       | 35404.58        | 1408.23    | 恒流充电 (CC Charge)                    | I= 3002.9mA, V=3.99V, P= 11.99W
18       | 36842.81        | 2057.16    | 恒压充电 (CV Charge)                    | I=  902.6mA, V=4.20V, P=  3.79W
19       | 38929.98        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
20       | 39800.01        | 74.96      | 任务剖面: 起飞 (Take-off)                 | I=-14453.7mA, V=3.71V, P=-53.56W
21       | 39874.98        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4274.6mA, V=3.80V, P=-16.22W
22       | 40674.98        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16157.8mA, V=3.26V, P=-52.40W
23       | 40809.97        | 693.02     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
24       | 41533.00        | 1409.96    | 恒流充电 (CC Charge)                    | I= 3003.0mA, V=3.99V, P= 11.99W
25       | 42972.95        | 2040.55    | 恒压充电 (CV Charge)                    | I=  897.2mA, V=4.20V, P=  3.77W
26       | 45043.50        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
27       | 45913.54        | 74.96      | 任务剖面: 起飞 (Take-off)                 | I=-14411.9mA, V=3.71V, P=-53.45W
28       | 45988.50        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4274.1mA, V=3.80V, P=-16.22W
29       | 46788.50        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16179.0mA, V=3.25V, P=-52.40W
30       | 46923.50        | 691.83     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
31       | 47645.32        | 1411.88    | 恒流充电 (CC Charge)                    | I= 3003.0mA, V=4.00V, P= 12.00W
32       | 49087.20        | 2021.16    | 恒压充电 (CV Charge)                    | I=  906.9mA, V=4.20V, P=  3.81W
33       | 51138.36        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
34       | 52008.39        | 74.96      | 任务剖面: 起飞 (Take-off)                 | I=-14407.4mA, V=3.71V, P=-53.45W
35       | 52083.36        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4274.1mA, V=3.80V, P=-16.22W
36       | 52883.36        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16198.7mA, V=3.25V, P=-52.40W
37       | 53018.35        | 688.24     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
38       | 53736.59        | 1414.74    | 恒流充电 (CC Charge)                    | I= 3003.2mA, V=3.99V, P= 12.00W
39       | 55181.33        | 2016.69    | 恒压充电 (CV Charge)                    | I=  904.4mA, V=4.20V, P=  3.80W
40       | 57228.02        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
41       | 58098.06        | 74.96      | 任务剖面: 起飞 (Take-off)                 | I=-14438.4mA, V=3.71V, P=-53.57W
42       | 58173.03        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4273.7mA, V=3.80V, P=-16.22W
43       | 58973.02        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16213.2mA, V=3.25V, P=-52.40W
44       | 59108.02        | 692.30     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
45       | 59830.32        | 1416.51    | 恒流充电 (CC Charge)                    | I= 3003.1mA, V=3.99V, P= 11.99W
46       | 61276.83        | 2013.42    | 恒压充电 (CV Charge)                    | I=  901.4mA, V=4.20V, P=  3.79W
47       | 63320.25        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
48       | 64190.29        | 74.96      | 任务剖面: 起飞 (Take-off)                 | I=-14399.3mA, V=3.72V, P=-53.45W
49       | 64265.25        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4273.4mA, V=3.80V, P=-16.22W
50       | 65065.25        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16224.5mA, V=3.24V, P=-52.40W
51       | 65200.25        | 688.54     | 静置 (Rest)                           | I=    0.0mA, V=3.66V, P=  0.00W
52       | 65918.79        | 1417.56    | 恒流充电 (CC Charge)                    | I= 3003.4mA, V=3.99V, P= 11.99W
53       | 67366.36        | 2012.76    | 恒压充电 (CV Charge)                    | I=  901.2mA, V=4.20V, P=  3.79W
54       | 69409.11        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
55       | 70279.15        | 74.96      | 任务剖面: 起飞 (Take-off)                 | I=-14431.3mA, V=3.72V, P=-53.57W
56       | 70354.11        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4273.3mA, V=3.80V, P=-16.22W
57       | 71154.11        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16233.5mA, V=3.24V, P=-52.41W
58       | 71289.11        | 691.74     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
59       | 72010.85        | 1418.99    | 恒流充电 (CC Charge)                    | I= 3003.1mA, V=3.99V, P= 11.99W
60       | 73459.84        | 2009.61    | 恒压充电 (CV Charge)                    | I=  910.9mA, V=4.20V, P=  3.83W
61       | 75499.46        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
62       | 76369.50        | 74.96      | 任务剖面: 起飞 (Take-off)                 | I=-14429.2mA, V=3.72V, P=-53.57W
63       | 76444.46        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4273.1mA, V=3.80V, P=-16.22W
64       | 77244.46        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16242.0mA, V=3.24V, P=-52.41W
65       | 77379.45        | 694.17     | 静置 (Rest)                           | I=    0.0mA, V=3.66V, P=  0.00W
