--- 分析日志 for: .\VAH26.csv ---
--- 协议: Short cruise (600 sec) ---

发现 8207 个由Ns变化定义的片段。

片段 #     | 起始时间(s)         | 持续(s)      | 状态标签                                | 依据 (I, V, P)
--------------------------------------------------------------------------------------------------------------
1        | 0.00            | 5046.85    | 其他充电阶段                              | I= 1504.2mA, V=3.90V, P=  5.87W
2        | 5056.85         | 2015.92    | 恒压充电 (CV Charge)                    | I=  454.3mA, V=4.20V, P=  1.91W
3        | 7082.77         | 880.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
4        | 7972.82         | 3599.95    | RPT: C/5 容量测试放电                     | I= -595.6mA, V=4.06V, P= -2.42W
5        | 11572.77        | 30.00      | RPT: IR测量前静置                        | I=  -63.2mA, V=4.02V, P= -0.25W
6        | 11602.77        | 7200.00    | RPT: C/5 容量测试放电                     | I= -595.6mA, V=3.81V, P= -2.27W
7        | 18802.77        | 30.00      | RPT: IR测量前静置                        | I=  -63.2mA, V=3.64V, P= -0.23W
8        | 18832.77        | 7645.34    | RPT: C/5 容量测试放电                     | I= -595.6mA, V=3.30V, P= -1.96W

>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> RPT完成 & 验证点 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
>>> 在此RPT之前已完成的任务循环次数: 0
>>> 结论: 计数符合'每50个循环一次RPT'的规则。
>>> 数据点记录: Capacity = 3052.76 mAh, Cycle Number = 1
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 验证完成 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<

9        | 26488.12        | 890.00     | 静置 (Rest)                           | I=    0.0mA, V=2.77V, P=  0.00W
10       | 27408.11        | 3022.09    | 恒流充电 (CC Charge)                    | I= 3004.1mA, V=3.81V, P= 11.44W
11       | 30460.20        | 2011.51    | 恒压充电 (CV Charge)                    | I=  914.4mA, V=4.20V, P=  3.84W
12       | 32501.72        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
13       | 33371.76        | 74.96      | 任务剖面: 起飞 (Take-off)                 | I=-14358.3mA, V=3.73V, P=-53.48W
14       | 33446.72        | 600.00     | 任务剖面: 巡航 (Cruise)                   | I=-4241.4mA, V=3.84V, P=-16.29W
15       | 34046.72        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-15555.7mA, V=3.38V, P=-52.45W
16       | 34181.72        | 627.59     | 静置 (Rest)                           | I=    0.0mA, V=3.76V, P=  0.00W
17       | 34839.31        | 1136.62    | 恒流充电 (CC Charge)                    | I= 3003.9mA, V=4.03V, P= 12.11W
18       | 36005.93        | 1783.71    | 恒压充电 (CV Charge)                    | I=  955.9mA, V=4.20V, P=  4.02W
19       | 37819.64        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
20       | 38689.69        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14371.9mA, V=3.73V, P=-53.59W
21       | 38764.64        | 600.00     | 任务剖面: 巡航 (Cruise)                   | I=-4239.0mA, V=3.85V, P=-16.29W
22       | 39364.64        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-15572.8mA, V=3.38V, P=-52.45W
23       | 39499.64        | 642.36     | 静置 (Rest)                           | I=    0.0mA, V=3.76V, P=  0.00W
24       | 40172.00        | 1141.46    | 恒流充电 (CC Charge)                    | I= 3004.0mA, V=4.03V, P= 12.12W
25       | 41343.46        | 1768.31    | 恒压充电 (CV Charge)                    | I=  960.4mA, V=4.20V, P=  4.03W
26       | 43141.76        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
27       | 44011.81        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14366.2mA, V=3.73V, P=-53.59W
28       | 44086.77        | 600.00     | 任务剖面: 巡航 (Cruise)                   | I=-4238.6mA, V=3.85V, P=-16.29W
29       | 44686.76        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-15581.5mA, V=3.38V, P=-52.45W
30       | 44821.76        | 643.39     | 静置 (Rest)                           | I=    0.0mA, V=3.76V, P=  0.00W
31       | 45495.15        | 1144.14    | 恒流充电 (CC Charge)                    | I= 3004.6mA, V=4.03V, P= 12.12W
32       | 46669.29        | 1736.68    | 恒压充电 (CV Charge)                    | I=  969.5mA, V=4.20V, P=  4.07W
33       | 48435.97        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
34       | 49306.01        | 74.96      | 任务剖面: 起飞 (Take-off)                 | I=-14333.6mA, V=3.74V, P=-53.49W
35       | 49380.97        | 600.00     | 任务剖面: 巡航 (Cruise)                   | I=-4238.5mA, V=3.85V, P=-16.29W
36       | 49980.97        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-15595.3mA, V=3.38V, P=-52.45W
37       | 50115.97        | 615.76     | 静置 (Rest)                           | I=    0.0mA, V=3.75V, P=  0.00W
38       | 50761.72        | 1147.69    | 恒流充电 (CC Charge)                    | I= 3004.2mA, V=4.03V, P= 12.11W
